Entity,Year,Annual CO2 emissions,GDP per capita,Population,per_capita_CO2,per_gdp_CO2,Annual nitrous oxide emissions,Annual methane emissions,Annual greenhouse gas emissions,CO2 emissions %,CO2 % from greenhouse emissions
Brazil,1984,167076400.0,7438.0,133888776,1.247874579120807,0.16777017734885816,90406824.0,345198820.0,1691268600.0,0.8496236032434679,9.87876201331947
Brazil,1985,179589100.0,7862.0,136783180,1.312947249800743,0.16699914141449287,92772240.0,349984260.0,1484008400.0,0.8835660370646962,12.10162287491095
Brazil,1986,196613300.0,8281.0,139643360,1.40796741069536,0.17002383899231494,97442710.0,361691550.0,1525605600.0,0.953167540586871,12.887557570580496
Brazil,1987,205332590.0,8402.0,142466270,1.4412716076584302,0.17153911064727806,100775416.0,373817150.0,1635545200.0,0.9651852351507633,12.554381866059098
Brazil,1988,207069980.0,8230.0,145253980,1.4255718156569617,0.1732165025099589,99822504.0,381551800.0,1625487900.0,0.9366378691316796,12.738943181305748
Brazil,1989,211444880.0,8333.0,148003420,1.4286486082551335,0.17144469077824714,99168310.0,392951140.0,1619173500.0,0.9435122136586394,13.058815500624238
Brazil,1990,218658000.0,7842.0,150706450,1.4508868067690532,0.1850148950228326,99863650.0,391411550.0,1669534800.0,0.9608181573706754,13.096941734907233
Brazil,1991,229394000.0,7888.0483,153336450,1.4960174179068317,0.18965621925854986,102702504.0,400205200.0,1793921300.0,0.9868613229123099,12.787294515093834
Brazil,1992,233601000.0,7812.7944,155900780,1.498395325539744,0.19178737450709618,104524340.0,406998460.0,1893555700.0,1.0345472190174474,12.336632083228395
Brazil,1993,244306000.0,8166.236,158440860,1.5419381086419248,0.1888187052935924,106371120.0,410209700.0,1959295700.0,1.0709115863870184,12.469072432507252
Brazil,1994,254002000.0,8615.688,160980480,1.577843475184072,0.18313609721987054,110033560.0,420179970.0,2187148800.0,1.105823035401122,11.6133845122929
Brazil,1995,268678000.0,8951.694,163515330,1.643136456991525,0.18355592326899522,111609400.0,427178080.0,2246513700.0,1.1453227998772653,11.959775718260698
Brazil,1996,289311000.0,9124.516,166037120,1.7424477128969715,0.19096330291896815,106389336.0,417368100.0,2208026600.0,1.197509837171345,13.102695411368687
Brazil,1997,306949000.0,9409.946,168546700,1.821151051904309,0.1935346974259267,109849730.0,426776160.0,2299453200.0,1.2630303016337687,13.348782223530359
Brazil,1998,317359000.0,9419.107,171039800,1.8554687271617483,0.19698987676451157,114405590.0,436550180.0,2454020600.0,1.3106826590058507,12.932206029566338
Brazil,1999,327256000.0,9441.759,173486270,1.886351006336121,0.19978809100466566,114870650.0,443678270.0,2515283500.0,1.3231879329090315,13.010700384270798
Brazil,2000,340183000.0,9834.425,175873710,1.9342458858689,0.19668113650456434,119721420.0,451724500.0,2477476000.0,1.3364816474259873,13.731031097778546
Brazil,2001,346165980.0,9953.31,178211890,1.9424404286380668,0.1951552225981173,125487340.0,465051680.0,2486699300.0,1.3486259902340065,13.920701228331064
Brazil,2002,347765020.0,10245.069,180476690,1.9269248566116766,0.1880831506953908,130247864.0,487410140.0,2574871600.0,1.3232545076796434,13.5061111396778
Brazil,2003,344645000.0,10354.596,182629280,1.8871289423032276,0.18225036904416433,135595410.0,510057820.0,3020337400.0,1.2463837530390651,11.410811255722622
Brazil,2004,361434000.0,10949.66,184722050,1.9566370122029286,0.17869386010185967,143788770.0,534294460.0,2928614700.0,1.262135871475392,12.34146642779605
Brazil,2005,364371000.0,11305.771,186797340,1.9506219949384718,0.17253330135012213,143491660.0,537882750.0,2780955000.0,1.2303761502518251,13.102369509754745
Brazil,2006,368871000.0,11766.605,188820690,1.9535518062136092,0.166025102925917,141507440.0,534707650.0,2655133200.0,1.2057319557947639,13.892749335513562
Brazil,2007,390573000.0,12500.007,190779460,2.0472486922858466,0.1637798036661777,152822700.0,533773440.0,2607902700.0,1.2396471515915872,14.976517337092368
Brazil,2008,412638000.0,13164.012,192672320,2.141656881486661,0.16269028632658955,147323410.0,532293280.0,2554581500.0,1.2860440974640648,16.152861045928656
Brazil,2009,389775000.0,13180.891,194517550,2.0038037698912,0.15202339279576776,143412220.0,530754300.0,2421600000.0,1.2348707541546025,16.095763131813676
Brazil,2010,440269020.0,14215.612,196353500,2.2422264945621038,0.1577298602805214,159684290.0,553930800.0,2409708000.0,1.3195793102139837,18.270637770219462
Brazil,2011,462580000.0,14831.0,198185300,2.334078259083797,0.15737834664444722,159106820.0,552221100.0,2350015200.0,1.3413165123926505,19.684128000533786
Brazil,2012,498309000.0,14985.0,199977710,2.4918227136414353,0.16628780204480717,160010110.0,554981900.0,2367644200.0,1.4234849928312843,21.04661671715708
